"State","County","FIPS","comorb_RR","comorb_OR"
"Alabama","Autauga","01001",0.966745113502596,0.936592044157935
"Alabama","Baldwin","01003",0.81823295069731,0.69579356132448
"Alabama","Barbour","01005",1.16933450017519,1.398616328784
"Alabama","Bibb","01007",1.04882409288152,1.10085858361341
"Alabama","Blount","01009",0.941459757189837,0.890965608765247
"Alabama","Bullock","01011",1.23307710051228,1.59239195717878
"Alabama","Butler","01013",1.18120866524761,1.43251520755247
"Alabama","Calhoun","01015",1.09022339255566,1.19456421251103
"Alabama","Chambers","01017",1.13288035046632,1.30013350050604
"Alabama","Cherokee","01019",1.13704265790467,1.3109728898555
"Alabama","Chilton","01021",1.14293145212573,1.32648154586797
"Alabama","Choctaw","01023",1.16269669337354,1.38006953790809
"Alabama","Clarke","01025",1.1661303588405,1.38962812741587
"Alabama","Clay","01027",1.07052341363105,1.14896875101994
"Alabama","Cleburne","01029",1.04659003990876,1.0960255897336
"Alabama","Coffee","01031",1.0552770720644,1.11494254847518
"Alabama","Colbert","01033",1.10651590810269,1.23373815537533
"Alabama","Conecuh","01035",1.20467325289765,1.50236102218912
"Alabama","Coosa","01037",1.16340117840736,1.38202451807611
"Alabama","Covington","01039",1.05097644122129,1.10553562272329
"Alabama","Crenshaw","01041",1.07060970114797,1.14916439244095
"Alabama","Cullman","01043",0.987350879616595,0.975406283567268
"Alabama","Dale","01045",1.09175620706763,1.19819193563486
"Alabama","Dallas","01047",1.19494068017564,1.4729158505358
"Alabama","DeKalb","01049",1.06243788818682,1.13079063989723
"Alabama","Elmore","01051",1.05727097912945,1.11933203098976
"Alabama","Escambia","01053",1.09431927015264,1.20428442591745
"Alabama","Etowah","01055",1.10119178233751,1.22078605971485
"Alabama","Fayette","01057",1.0137242996276,1.02737467643479
"Alabama","Franklin","01059",1.0515998137669,1.10689403870766
"Alabama","Geneva","01061",1.13955763359609,1.31757128584177
"Alabama","Greene","01063",1.26773122707958,1.71128594656964
"Alabama","Hale","01065",1.1768510120716,1.41996556345252
"Alabama","Henry","01067",1.06349073990257,1.13314052011495
"Alabama","Houston","01069",1.05639550437801,1.11740251159347
"Alabama","Jackson","01071",1.06062462320953,1.12675550817154
"Alabama","Jefferson","01073",0.932978539398189,0.876131386426063
"Alabama","Lamar","01075",1.10641311502661,1.23348667960376
"Alabama","Lauderdale","01077",0.949511693678285,0.905263902338793
"Alabama","Lawrence","01079",0.942206593428231,0.892282927325808
"Alabama","Lee","01081",0.868104127879624,0.769807436837111
"Alabama","Limestone","01083",0.998590417491126,0.997229564414
"Alabama","Lowndes","01085",1.25484819471234,1.66584914244747
"Alabama","Macon","01087",1.17695733241772,1.42027023561802
"Alabama","Madison","01089",0.906274505551925,0.830882874329671
"Alabama","Marengo","01091",1.16406456463027,1.38386834523006
"Alabama","Marion","01093",1.05914536910641,1.12347479446916
"Alabama","Marshall","01095",1.09895792439198,1.21539568964178
"Alabama","Mobile","01097",0.994738492784548,0.989697244079313
"Alabama","Monroe","01099",1.15500032453397,1.35891611022972
"Alabama","Montgomery","01101",1.05161304774045,1.10692289609567
"Alabama","Morgan","01103",0.999362342235714,0.998745792370631
"Alabama","Perry","01105",1.25258150110946,1.65801000542378
"Alabama","Pickens","01107",1.13850640734135,1.31480873086227
"Alabama","Pike","01109",1.03596311159202,1.07333260184966
"Alabama","Randolph","01111",1.11401059201572,1.2522249446118
"Alabama","Russell","01113",1.03834694526399,1.07838090566135
"Alabama","St. Clair","01115",1.07950557087997,1.16952419336405
"Alabama","Shelby","01117",0.884266976836368,0.795173706433973
"Alabama","Sumter","01119",1.08644780720969,1.18567862350552
"Alabama","Talladega","01121",1.16699257899208,1.39204027108973
"Alabama","Tallapoosa","01123",1.00558567240421,1.01105299846037
"Alabama","Tuscaloosa","01125",0.926719538639663,0.865329844505601
"Alabama","Walker","01127",1.08914443185627,1.19201769503961
"Alabama","Washington","01129",1.10463638527751,1.22914884031114
"Alabama","Wilcox","01131",1.19662837060116,1.47797271485465
"Alabama","Winston","01133",1.06338646678208,1.13290756321486
"Alaska","Aleutians East","02013",0.992812033845213,0.988292437419919
"Alaska","Aleutians West","02016",1.00949330654383,1.01562753764176
"Alaska","Anchorage","02020",0.956164691865767,0.930221779529896
"Alaska","Bethel","02050",1.22420619198822,1.42788672311108
"Alaska","Bristol Bay","02060",1.06131214886547,1.10439238775655
"Alaska","Denali","02068",0.895133080902417,0.839146438197389
"Alaska","Dillingham","02070",1.17541331894425,1.32307017084349
"Alaska","Fairbanks North Star","02090",0.943522536804367,0.910795679424991
"Alaska","Haines","02100",0.98480367297123,0.975373541178673
"Alaska","Hoonah-Angoon","02105",1.20671332993443,1.38944702546185
"Alaska","Juneau","02110",0.853835532769661,0.78119034726836
"Alaska","Kenai Peninsula","02122",1.02460235463583,1.04089500583839
"Alaska","Ketchikan Gateway","02130",1.167240149385,1.30622472587577
"Alaska","Kodiak Island","02150",0.933332432894734,0.895355635380066
"Alaska","Kusilvak","02158",1.43144285822887,1.97302448100101
"Alaska","Lake and Peninsula","02164",1.20197844357187,1.37921118379222
"Alaska","Matanuska-Susitna","02170",1.03645195101212,1.06105951847796
"Alaska","Nome","02180",1.2695732402376,1.53239087089195
"Alaska","North Slope","02185",1.11494594026882,1.20291648356308
"Alaska","Northwest Arctic","02188",1.29702675777472,1.59924333699776
"Alaska","Petersburg","02195",0.985966729140824,0.97724165673124
"Alaska","Prince of Wales-Hyder","02198",1.19576615497314,1.36588834778105
"Alaska","Sitka","02220",0.840475820593149,0.763033511762357
