"Date","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Puerto Rico","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"2020-04-24",1.09586716681829,0.918132468378599,0.874065751044098,1.0663907364339,1.03279989257012,1.16903746870907,1.65343449631484,0.933775312048548,0.80056418365951,1.32937930397997,0.966574036689243,0.902132598185296,1.46043934544348,1.07178933015002,1.46850032586232,1.2892718918124,1.11200820914837,1.36140628388973,1.01939229393195,1.15515305370413,1.08881416210826,2.09278640883894,1.21622113168867,1.49844504356307,1.01570975096246,1.4528214699905,1.07080644915222,0.917483517201588,0.90137949302849,1.56422312818655,1.23945928999193,0.668202762716562,1.10052777484495,1.10404206136104,1.05129617336891,1.58549496778805,1.04876293624515,1.23726741480174,1.65544399802653,0.789702833029968,1.43189018885387,1.26556774292155,1.06508278030741,0.991939115723706,1.01265815934412,0.834152964084935,0.981502461340428,1.28031505476874,1.292507173095,1.2511980435063,1.28380560786419,0.941349068115057
"2020-04-25",1.09686138223297,0.91896481968822,0.874858007409791,1.06735809098349,1.03373664492624,1.17009839007185,1.65493803926426,0.934621899823549,0.801289595838094,1.33058654283179,0.96745048039885,0.90295039001262,1.46176632528378,1.0727616037632,1.46983467472617,1.29044251305703,1.1130171361233,1.36264277172681,1.02031683397106,1.15620131418701,1.0898019497635,2.09469294493715,1.21732508962848,1.49980677097709,1.01663093699326,1.45414148632679,1.07177782717243,0.918315277944244,0.90219659959655,1.56564502047759,1.24058444980912,0.668807904914492,1.10152623791319,1.10504372743991,1.05224977529771,1.58693632366432,1.04971423031614,1.2383905746362,1.65694938086325,0.790418371079717,1.43319107415047,1.2667167282595,1.0660489431132,0.992838654257655,1.01357656610579,0.834908917691062,0.982392496745451,1.28147750018265,1.29368074766407,1.25233391499964,1.28497123939459,0.942202549387197
"2020-04-26",1.09785560586502,0.919797176761602,0.875650268998288,1.06832545331339,1.0346734045792,1.17115932078883,1.65644160096359,0.935468493560775,0.802015012396681,1.33179379378784,0.968326930497758,0.903768187404198,1.46309331974059,1.07373388523584,1.47116903836882,1.29161314568465,1.11402607156001,1.36387927226007,1.0212413811184,1.15724958380268,1.09078974553043,2.09659951112851,1.21842905769481,1.5011685137807,1.01755213008092,1.45546151712705,1.07274921303766,0.9191470444425,0.903013711719562,1.56706692954358,1.24170962014452,0.669413050162134,1.10252470926901,1.10604540185949,1.05320338478764,1.58837769677643,1.05066553191178,1.2395137449516,1.65845478249564,0.791133913391235,1.43449197349604,1.26786572456463,1.06701511368018,0.993738199521356,1.01449497988189,0.835664876053109,0.983282538739071,1.28263995682152,1.29485433367347,1.25346979721188,1.2861368822114,0.943056036718863
"2020-04-27",1.09884983771454,0.920629539598805,0.876442535809638,1.06929282342369,1.0356101715291,1.17222026086013,1.65794518141318,0.936315093260289,0.802740433335312,1.33300105684832,0.969203386986034,0.904585990360089,1.46442032881415,1.07470617456802,1.47250341679051,1.29278378969542,1.11503501545863,1.36511578548969,1.02216593537404,1.15829786255126,1.09177754940917,2.09850610741374,1.21953303588779,1.50253027197414,1.01847333022551,1.45678156239151,1.073720606748,0.919978816696416,0.903830829397582,1.56848885538484,1.24283480099826,0.670018198459511,1.10352318891251,1.10704708461988,1.05415700183879,1.58981908712467,1.05161684103216,1.24063692574809,1.65996020292405,0.79184945996456,1.43579288689079,1.26901473183709,1.06798129200844,0.994637751514882,1.0154134006725,0.83642083917112,0.984172587321358,1.28380242468551,1.29602793112338,1.25460569014317,1.28730253631478,0.94390953011012
"2020-04-28",1.09984407778164,0.921461908199889,0.877234807843895,1.07026020131448,1.03654694577602,1.17328121028587,1.65944878061338,0.937161698922153,0.803465858654027,1.33420833201339,0.970079849863749,0.905403798880347,1.4657473525047,1.07567847175986,1.47383780999149,1.29395444508951,1.11604396781924,1.36635231141589,1.02309049673808,1.15934615043286,1.0927653613998,2.10041273379354,1.22063702420757,1.50389204555769,1.01939453742713,1.45810162212041,1.07469200830354,0.920810594706051,0.904647952630666,1.56991079800164,1.24395999237049,0.670623349806646,1.10452167684379,1.1080487757212,1.05511062645124,1.59126049470936,1.05256815767738,1.2417601170258,1.66146564214884,0.792565010799731,1.43709381433497,1.27016375007705,1.06894747809808,0.99553731023831,1.01633182847769,0.83717680704514,0.985062642492387,1.28496490377477,1.29720154001395,1.25574159379367,1.28846820170489,0.944763029561034
"2020-04-29",1.10083832606642,0.922294282564912,0.87802708510111,1.07122758698585,1.03748372732003,1.17434216906617,1.66095239856455,0.938008310546432,0.804191288352866,1.33541561928324,0.970956319130974,0.906221612965032,1.46707439081248,1.07665077681143,1.47517221797201,1.29512511186707,1.11705292864197,1.36758885003885,1.02401506521059,1.16039444744761,1.09375318150244,2.10231939026865,1.22174102265427,1.50525383453161,1.02031575168584,1.45942169631397,1.07566341770438,0.921642378471466,0.905465081418872,1.57133275739429,1.24508519426137,0.671228504203561,1.10552017306295,1.10905047516354,1.0560642586251,1.59270191953081,1.05351948184751,1.24288331878489,1.66297110017035,0.793280565896786,1.4383947558288,1.27131277928465,1.06991367194918,0.996436875691715,1.01725026329756,0.837932779675214,0.98595270425223,1.28612739408948,1.29837516034537,1.25687750816353,1.2896338783819,0.945616535071667
"2020-04-30",1.09624306531836,0.918447168527699,0.874365291898175,1.06675647925381,1.03315406516943,1.1694385876966,1.65400296346198,0.934095394790253,0.800838451725249,1.32983574331736,0.966905407507751,0.902441793613565,1.46094105694154,1.07215693279236,1.46900482346992,1.28971448661018,1.11238966986262,1.36187378180517,1.01974184924074,1.15554938580942,1.08918763037143,2.09350724093776,1.21663852213591,1.49895989256017,1.01605803817189,1.45332054869936,1.07117371318461,0.917797994066226,0.901688429370549,1.56476072455095,1.23988469653758,0.668431558477847,1.1009052793174,1.10442077684245,1.05165671653378,1.58603992301787,1.04912260684433,1.23769206518522,1.65601316080491,0.7899733678344,1.43238203442292,1.26600215752312,1.06544807254728,0.992279218344416,1.0130053957543,0.834438779409146,0.981838970972599,1.28075455841355,1.29295088449826,1.25162749996893,1.28424631612953,0.941671757183804
"2020-05-01",1.09164798010913,0.914600177615631,0.870703610264506,1.06228553772399,1.02882455889356,1.16453520615047,1.64705392889189,0.930182606398789,0.797485708663126,1.32425612592078,0.962854632372352,0.898662093125426,1.45480803530642,1.06766325666633,1.46283774467054,1.28430410451532,1.10772659184334,1.3561589847857,1.01546878511637,1.15070451926506,1.0846222525219,2.08469573444991,1.21153623793914,1.49266627933882,1.01180047540601,1.44721971006194,1.0666841762494,0.913953732611808,0.897911895986809,1.55818905005174,1.23468442350252,0.665634677900029,1.09629056261038,1.09979125669498,1.04724933596271,1.57937829469407,1.04472589258224,1.23250103547826,1.64905562294947,0.786666260811783,1.42636961312919,1.26069177004132,1.06098263893925,0.988121704757609,1.00876067805274,0.830944880738834,0.977725378438117,1.27538196252386,1.28752685303836,1.24637772075039,1.27885899497615,0.937727108739201
"2020-05-02",1.08705307042866,0.910753309822798,0.867042040195005,1.05781476238713,1.02449520848402,1.15963202441556,1.64010529481965,0.926269945365821,0.794133059162582,1.31867676707551,0.958803993717878,0.894882511495008,1.44867532588327,1.06316974842394,1.45667098154962,1.27889396556608,1.10306369457363,1.35044445896115,1.01119587282936,1.14585984780274,1.08005704794397,2.07588487073476,1.20643417005022,1.4863729948418,1.00754306338018,1.44111918037823,1.06219480688938,0.910109594102313,0.894135481262059,1.55161773386734,1.22948437514163,0.662837862467831,1.09167602293171,1.09516191471083,1.04284211690301,1.57271703452889,1.04032933905242,1.22731022964952,1.64209848656926,0.783359244825175,1.42035749192514,1.25538161682374,1.05651737111584,0.983964334923837,1.00451611018496,0.827451083659846,0.973611926641561,1.27000960640435,1.28210306594916,1.24112817049292,1.27347191490556,0.933782589731488
"2020-05-03",1.08245833626691,0.90690656514329,0.863380581684572,1.05334415323395,1.02016601393239,1.15472904247966,1.63315706121064,0.922357411685133,0.790780503219699,1.3130976667636,0.954753491537433,0.891103048716703,1.44254292864825,1.05867640805579,1.45050453408293,1.27348406974608,1.09840097804297,1.34473020431219,1.00692311237164,1.1410153714107,1.0754920166278,2.06707464972197,1.20133231845538,1.48008003904335,1.0032858020864,1.43501895962478,1.05770560509517,0.906265578531843,0.890359185190706,1.54504677596846,1.22428455144035,0.660041112178976,1.08706166027119,1.09053275087971,1.03843505934581,1.56605614249183,1.03593294624606,1.22211964768453,1.63514175162956,0.780052319870818,1.41434567078831,1.25007169785487,1.05205226906784,0.979807108835645,1.00027169214301,0.823957388167753,0.969498615575709,1.26463749003897,1.27667952321414,1.23587884918156,1.2680850759016,0.929838200154292
