"State","ifr_new","ifr_OR"
"Massachusetts",0.00837022625544323,2.01988088402539
"Connecticut",0.00668433032163014,1.61030720602248
"Minnesota",0.00664508567613856,1.60078962026627
"Pennsylvania",0.0066019957071018,1.59034033528628
"New Hampshire",0.00651686354849556,1.56969851550008
"Ohio",0.0061525681447122,1.48140850023822
"Indiana",0.0061393451968731,1.47820502636386
"Iowa",0.00592623098605883,1.42658640304168
"Wisconsin",0.00591655419007659,1.42424310112027
"Rhode Island",0.00568272883856491,1.36763456938852
"Missouri",0.00568115665648061,1.3672540381544
"Kentucky",0.00561067145692975,1.35019502404577
"Idaho",0.00558735825495977,1.34455323356194
"West Virginia",0.00523154900898127,1.25848027939098
"South Dakota",0.00512389267994428,1.23244952934335
"Virginia",0.00511393067214822,1.23004105155262
"Kansas",0.00511322911975428,1.22987144164226
"Maine",0.00499367750054975,1.20097169165365
"Montana",0.00489073818396523,1.17609327187834
"Michigan",0.00488168799091274,1.173906263351
"Colorado",0.0047985761732074,1.15382388275708
"Oregon",0.0047038046109912,1.1309282407183
"South Carolina",0.00464268130138537,1.11616391481299
"Washington",0.00460089259439738,1.1060709027566
"North Dakota",0.00449915029530401,1.08150115008286
"Arkansas",0.00449363589840232,1.08016962158681
"Florida",0.00444481904779907,1.06838275142315
"New Jersey",0.004378586377538,1.05239266472298
"Wyoming",0.00436019807717703,1.04795368429576
"Illinois",0.00431508544334224,1.03706407931598
"Oklahoma",0.00416208195875505,1.00013836924765
"Maryland",0.00411393822716339,0.988521755323882
"Vermont",0.00404372162046578,0.971581184910453
"Nebraska",0.00400528239413595,0.962308287634434
"New York",0.00398854892995323,0.958271809433627
"Tennessee",0.00398669257856242,0.957824025162127
"Alabama",0.00397825417270985,0.955788555810238
"Delaware",0.0038793610941575,0.931936640564949
"North Carolina",0.00383424568929954,0.921056877630103
"Mississippi",0.00368220135751152,0.884398025905065
"Louisiana",0.00352783248119922,0.847190156632257
"Alaska",0.00351041138081553,0.842991834442846
"Hawaii",0.00339885843288227,0.816112096814436
"Utah",0.00339795826051966,0.815895216246616
"Nevada",0.00336012022254607,0.80677916633081
"Georgia",0.00334153715422725,0.802302333031871
"Puerto Rico",0.0031491349138542,0.755960661418148
"California",0.0031106423551173,0.746691557505561
"District of Columbia",0.00300432482084773,0.721093749268631
"Texas",0.00296040000948757,0.710519675341334
"Arizona",0.00264531608870727,0.634696438332716
"New Mexico",0.00248077225572602,0.59511889600701
