"State","County","fips","ifr_OR"
"Arkansas","Hempstead","05057",1.10017406607726
"Arkansas","Hot Spring","05059",0.944828357078556
"Arkansas","Howard","05061",1.04528317242353
"Arkansas","Independence","05063",0.929140768338033
"Arkansas","Izard","05065",1.05656927663297
"Arkansas","Jackson","05067",1.09331344844523
"Arkansas","Jefferson","05069",1.09638307333701
"Arkansas","Johnson","05071",1.03355689493702
"Arkansas","Lafayette","05073",1.1246693874039
"Arkansas","Lawrence","05075",1.02458584017846
"Arkansas","Lee","05077",1.20545577184107
"Arkansas","Lincoln","05079",1.11256209374846
"Arkansas","Little River","05081",1.04619034258501
"Arkansas","Logan","05083",1.00317849131068
"Arkansas","Lonoke","05085",0.968559596457008
"Arkansas","Madison","05087",0.98548751049493
"Arkansas","Marion","05089",1.07947676962488
"Arkansas","Miller","05091",0.974169455049103
"Arkansas","Mississippi","05093",1.21411486308669
"Arkansas","Monroe","05095",1.17688738722189
"Arkansas","Montgomery","05097",1.0501822151519
"Arkansas","Nevada","05099",1.18562603198946
"Arkansas","Newton","05101",1.12863205072528
"Arkansas","Ouachita","05103",1.12662039301565
"Arkansas","Perry","05105",1.03748134520618
"Arkansas","Phillips","05107",1.16975765082368
"Arkansas","Pike","05109",1.03016345301081
"Arkansas","Poinsett","05111",1.13125896071526
"Arkansas","Polk","05113",1.06223462545702
"Arkansas","Pope","05115",1.00919726912625
"Arkansas","Prairie","05117",1.0533710746593
"Arkansas","Pulaski","05119",0.97816853887041
"Arkansas","Randolph","05121",1.0730740451224
"Arkansas","St. Francis","05123",1.22526567191681
"Arkansas","Saline","05125",1.01168558259777
"Arkansas","Scott","05127",1.05017659166132
"Arkansas","Searcy","05129",1.04230028837531
"Arkansas","Sebastian","05131",1.0282164507723
"Arkansas","Sevier","05133",0.929807050477472
"Arkansas","Sharp","05135",1.1103174914384
"Arkansas","Stone","05137",1.18850396137091
"Arkansas","Union","05139",0.9543554849184
"Arkansas","Van Buren","05141",1.05012466316972
"Arkansas","Washington","05143",0.892741848578379
"Arkansas","White","05145",1.04575622747981
"Arkansas","Woodruff","05147",1.11359709158118
"Arkansas","Yell","05149",1.02530175368771
"California","Alameda","06001",0.872481978572537
"California","Alpine","06003",1.21969787888879
"California","Amador","06005",1.22966048201299
"California","Butte","06007",1.13448502463069
