location,cum_p_inf_init,start_p_imm
05077,0.7251110681208707,0.19389760617473303
12049,0.6588201552664495,0.16340190928831538
13297,0.7155457242230985,0.21025341129100833
18057,0.51275395309151806,0.2237293574555264
20055,0.6774480324701785,0.19287036270740895
21225,0.6293421672395049,0.2121936713849704
26133,0.5653299032855703,0.2268480486093198
29009,0.41592570716424726,0.1703023154464115
31051,0.5295931411431514,0.19684258701831384
36099,0.4765697081721898,0.1829027568852092
39051,0.5691787167718917,0.218152967080242
42029,0.4437862839102515,0.18708853003684017
47043,0.7099142594982722,0.21463706417000997
48233,0.7818022807536196,0.1891616423710666
51067,0.43598345768316943,0.16967799048421614
54103,0.6593154333919482,0.15663108522112812
02110,0.4376125995443779,0.267068389515392
08059,0.5097825930779383,0.27131860877567904
13157,0.7188381393239052,0.21976019016358772
17123,0.48052290284963045,0.21849288694042684
19115,0.598245934813923,0.21395523921332693
21087,0.6830270794266583,0.22272137385384064
25023,0.46998714032684596,0.22370169126057513
28035,0.7252126894713549,0.19362791211230043
30021,0.7436246901757939,0.22980740598646995
35025,0.7715072692633687,0.1982458611847328
38017,0.6327004688015783,0.2352583751386836
40117,0.6260709906052471,0.20905830702370232
46037,0.6118509590047019,0.2550483208117772
48095,0.7138948172914709,0.2185593467012979
48301,0.1705488669244142,0.12116154791537873
48479,0.6472554797435746,0.19805246829502957
53041,0.5461253352987891,0.19857716539846032
02275,0.3443711285998109,0.22380229331492607
08085,0.5573949899241292,0.24532053464767736
13183,0.37632979917791964,0.14968774513370126
17149,0.6440961010181355,0.18740146274181305
19141,0.6109133997637249,0.22836769818124664
21113,0.6119443280305956,0.2209935874741367
26021,0.5146571097025081,0.21197459459775464
28061,0.7030917462725623,0.1993116418964648
30047,0.6189243878207267,0.25171040160605734
35049,0.5619001501448778,0.27530764237170463
38043,0.619182467120927,0.20324954502695047
40143,0.7104834795315095,0.2306768561131199
46063,0.4219468822038316,0.14099904901267793
48121,0.43890230799103785,0.19697165364171973
48505,0.5477051610746684,0.18660186365289905
49027,0.5753551402302103,0.1873435435347711
53069,0.2700641771252188,0.18710522760441065
01085,0.7414485034547439,0.21619088998171032
06107,0.6857256214785572,0.19917771437271603
13091,0.7426534133218821,0.21586854207973355
17057,0.571930259341899,0.2233241216175835
19049,0.5158855148998291,0.2381311850991805
21021,0.6429787900843976,0.24172431741258063
24001,0.6772003286204474,0.2312013618242846
27143,0.4893658010030129,0.2368947372283714
29185,0.41520537827417525,0.17921120973035043
34003,0.5818891363177822,0.2409087169928354
37151,0.5636337522615175,0.15538202544981328
40051,0.6373049442004352,0.18631241277509375
45061,0.6183625718876807,0.19020560664135175
